mask_id,mask_name,flair,t1ce,t1,t2,n_cases,WT_dice_mean,TC_dice_mean,ET_dice_mean,ET_postpro_dice_mean,NCR_NET_dice_mean,ED_dice_mean,ET_sep_dice_mean
1,t2,0,0,0,1,100,0.865570,0.712766,0.469151,0.509151,0.482316,0.669647,0.469151
2,t1c,0,1,0,0,100,0.776927,0.836358,0.702310,0.779867,0.677756,0.604642,0.702310
3,t1,0,0,1,0,100,0.774696,0.634163,0.353960,0.381351,0.440056,0.572353,0.353960
4,flair,1,0,0,0,100,0.868693,0.678754,0.397494,0.417299,0.401569,0.701083,0.397494
5,t1cet2,0,1,0,1,100,0.879567,0.857991,0.730646,0.789012,0.674744,0.737842,0.730646
6,t1cet1,0,1,1,0,100,0.817767,0.847128,0.725599,0.795007,0.682696,0.656023,0.725599
7,flairt1,1,0,1,0,100,0.896225,0.728003,0.431310,0.458490,0.498777,0.732015,0.431310
8,t1t2,0,0,1,1,100,0.879212,0.730593,0.463044,0.489859,0.523896,0.698737,0.463044
9,flairt2,1,0,0,1,100,0.900351,0.741878,0.492527,0.510045,0.502806,0.732701,0.492527
10,flairt1ce,1,1,0,0,100,0.894766,0.863182,0.732037,0.800711,0.682227,0.772721,0.732037
11,flairt1cet1,1,1,1,0,100,0.904015,0.864138,0.729165,0.829971,0.691503,0.783053,0.729165
12,flairt1t2,1,0,1,1,100,0.904683,0.744160,0.487749,0.497749,0.527424,0.743833,0.487749
13,flairt1cet2,1,1,0,1,100,0.907087,0.866827,0.740884,0.794227,0.682917,0.785924,0.740884
14,t1cet1t2,0,1,1,1,100,0.885129,0.857849,0.731895,0.809789,0.674662,0.750605,0.731895
15,flairt1cet1t2,1,1,1,1,100,0.908866,0.863898,0.731932,0.800898,0.689934,0.789894,0.731932
